전공,총 졸업자 수,총 취업자 수,취업률,조사년도
간호,26589,21457,80.7,2023
건축,13067,8812,67.44,2023
경영ㆍ경제,92858,53787,57.92,2023
교육일반,10364,7259,70.04,2023
교통ㆍ운송,7394,4613,62.39,2023
기계ㆍ금속,26017,16410,63.07,2023
기타,10626,7169,67.47,2023
농림ㆍ수산,5818,3364,57.82,2023
디자인,20497,11663,56.9,2023
무용ㆍ체육,14545,8584,59.02,2023
미술ㆍ조형,4188,1991,47.54,2023
법률,8637,5441,63.0,2023
사회과학,70317,42167,59.97,2023
산업,5388,3765,69.88,2023
생물ㆍ화학ㆍ환경,25682,13066,50.88,2023
생활과학,21588,12449,57.67,2023
소재ㆍ재료,8835,5049,57.15,2023
수학ㆍ물리ㆍ천문ㆍ지리,9293,4796,51.61,2023
약학,2873,2129,74.1,2023
언어ㆍ문학,32529,16439,50.54,2023
연극ㆍ영화,3467,1993,57.48,2023
유아교육,14087,10405,73.86,2023
음악,11204,5530,49.36,2023
응용예술,19858,11541,58.12,2023
의료,8437,7371,87.37,2023
인문과학,31511,15136,48.03,2023
전기ㆍ전자,26818,16304,60.79,2023
정밀ㆍ에너지,5287,3251,61.49,2023
중등교육,14865,7426,49.96,2023
초등교육,3371,2313,68.61,2023
치료ㆍ보건,32435,23298,71.83,2023
컴퓨터ㆍ통신,38186,22673,59.38,2023
토목ㆍ도시,8598,5639,65.59,2023
특수교육,3354,2172,64.76,2023
화공,7479,4206,56.24,2023
